GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
03179000, 0.7537, 0.5811, 0.0076, 0.091, 10.9787
03180500, 0.5771, 0.5515, -0.0639, 0.1616, 8.2972
03182500, 0.592, 0.5485, -0.0515, 0.1549, 8.7922
03183500, 0.6292, 0.5657, -0.0457, 0.13, 9.7571
03184000, 0.6367, 0.5614, -0.0369, 0.1251, 9.9585
03186500, 0.4983, 0.3374, 0.0968, 0.126, 9.0192
03198500, 0.6365, 0.5813, -0.057, 0.0786, 11.7803
03199000, 0.6303, 0.5822, -0.0617, 0.0757, 12.2146
03213000, 0.6975, 0.6213, -0.0622, 0.0751, 11.8798
03214000, 0.6686, 0.6222, -0.0792, 0.0643, 12.5825
03237500, 0.7926, 0.598, 0.0098, 0.0644, 12.0577
03238500, 0.7815, 0.6118, -0.0094, 0.0744, 11.529
03251500, 0.7167, 0.598, -0.0286, 0.0596, 12.5899
03252500, 0.736, 0.614, -0.0344, 0.0545, 12.7885
03253500, 0.7257, 0.6146, -0.0404, 0.0582, 12.6021
03265000, 0.9241, 0.645, 0.0202, 0.0989, 10.3294
03266000, 0.9192, 0.6318, 0.0314, 0.0931, 10.5142
03269500, 0.896, 0.6208, 0.033, 0.0929, 10.3246
03274000, 0.8936, 0.6484, 0.0044, 0.0862, 10.772
03281500, 0.6484, 0.5786, -0.0472, 0.0483, 12.9302
03289500, 0.7498, 0.5422, 0.0445, 0.0508, 12.8993
03301500, 0.7188, 0.5979, -0.0273, 0.0419, 13.3495
03303000, 0.7789, 0.2749, 0.3262, 0.0487, 12.8839
03308500, 0.6832, 0.5474, 0.0038, 0.043, 13.563
03324300, 0.9176, 0.652, 0.0107, 0.096, 10.1984
03326500, 0.8937, 0.6572, -0.0043, 0.0982, 10.2715
03328500, 0.9235, 0.556, 0.109, 0.1108, 9.9411
03331500, 0.9322, 0.6202, 0.0482, 0.1087, 9.8115
03339500, 0.8823, 0.6416, 0.0065, 0.0831, 10.9637
03345500, 0.9518, 0.7079, -0.0318, 0.0748, 11.9144
03346000, 0.9267, 0.6985, -0.0322, 0.0676, 12.1769
03348000, 0.8757, 0.6339, 0.0114, 0.0937, 10.4455
03349000, 0.8794, 0.673, -0.0261, 0.0941, 10.4839
03361500, 0.827, 0.6276, -0.0038, 0.0896, 10.7491
